code,name,industry,lianban,prev_close,prev_pct,amplitude,turnover,volume_ratio,ma20,above_ma20,ma_bullish,is_finance,passed,total,failed
002449,国星光电,光学光电,1,6.63,0.15,1.21,2.16,0.47,6.5,True,True,False,5,7,"振幅>2%,量比>=0.8"
688328,深科达,专用设备,1,82.4,-6.66,7.09,9.06,0.82,79.48,True,True,False,5,7,"涨幅-5%到10%,价格2-50元"
003031,中瓷电子,通信设备,1,126.65,-3.58,5.02,2.99,0.75,123.02,True,False,False,5,7,"价格2-50元,量比>=0.8"
000603,盛达资源,贵金属,1,38.59,1.61,6.71,10.17,0.7,33.74,True,True,False,6,7,量比>=0.8
002638,勤上股份,照明设备,1,4.66,2.64,7.05,4.4,0.9,3.87,True,True,False,7,7,
002045,国光电器,消费电子,1,9.1,1.56,10.38,8.82,1.23,8.66,True,True,False,7,7,
002491,通鼎互联,通信设备,2,22.23,-5.96,5.88,21.06,0.78,18.93,True,True,False,5,7,"涨幅-5%到10%,量比>=0.8"
300016,北陆药业,化学制药,1,9.02,-3.53,3.32,8.12,0.54,8.77,True,True,False,6,7,量比>=0.8
300006,莱美药业,化学制药,1,5.83,-4.11,3.78,5.35,0.52,5.34,True,True,False,6,7,量比>=0.8
300142,沃森生物,生物制品,1,14.28,-8.34,5.71,13.42,0.64,13.66,True,True,False,5,7,"涨幅-5%到10%,量比>=0.8"
688276,百克生物,生物制品,1,16.77,-4.99,4.59,1.5,0.52,16.16,True,True,False,6,7,量比>=0.8
688658,悦康药业,化学制药,1,14.27,-6.73,5.88,5.44,0.68,13.55,True,True,False,5,7,"涨幅-5%到10%,量比>=0.8"
001277,速达股份,专用设备,2,30.03,-4.94,5.06,13.94,0.77,30.45,False,False,False,6,7,量比>=0.8
002399,海普瑞,化学制药,1,10.45,-1.42,1.6,0.43,0.44,10.37,True,False,False,4,7,"振幅>2%,换手率>1%,量比>=0.8"
300122,智飞生物,生物制品,1,14.2,-5.33,4.67,4.94,0.79,13.35,True,True,False,5,7,"涨幅-5%到10%,量比>=0.8"
603590,康辰药业,生物制品,1,30.75,-2.32,3.37,1.57,0.46,31.81,False,False,False,6,7,量比>=0.8
002940,昂利康,化学制药,1,25.44,-1.62,1.62,2.88,0.44,26.21,False,False,False,5,7,"振幅>2%,量比>=0.8"
002365,永安药业,化学制药,1,15.39,3.01,6.29,21.65,0.89,14.24,True,False,False,7,7,
000590,古汉医药,中药Ⅱ,1,9.58,2.57,4.28,2.27,0.72,9.04,True,True,False,6,7,量比>=0.8
920344,三元基因,生物制品,1,21.55,-6.47,4.9,5.19,0.61,21.08,True,True,False,5,7,"涨幅-5%到10%,量比>=0.8"
688105,诺唯赞,生物制品,1,21.13,-4.43,4.98,2.2,0.5,22.29,False,False,False,6,7,量比>=0.8
603801,志邦家居,家居用品,2,6.52,1.87,4.84,6.01,0.52,6.25,True,True,False,6,7,量比>=0.8
603988,中电电机,电机Ⅱ,1,20.36,-0.05,2.31,1.36,0.33,21.1,False,False,False,6,7,量比>=0.8
002030,达安基因,医疗器械,1,5.63,0.18,1.96,1.26,0.48,5.61,True,False,False,5,7,"振幅>2%,量比>=0.8"
688114,华大智造,医疗器械,1,64.09,-7.78,10.33,3.08,0.64,62.6,True,True,False,4,7,"涨幅-5%到10%,价格2-50元,量比>=0.8"
001210,金房能源,电力,1,28.35,0.07,3.71,5.05,0.58,24.58,True,False,False,6,7,量比>=0.8
300841,康华生物,生物制品,1,52.42,-5.04,3.64,4.0,0.62,50.86,True,False,False,4,7,"涨幅-5%到10%,价格2-50元,量比>=0.8"
688426,康为世纪,医疗器械,1,20.77,-1.61,2.32,1.63,0.47,19.8,True,True,False,6,7,量比>=0.8
603036,如通股份,专用设备,1,15.75,-0.57,2.15,2.92,0.5,14.16,True,True,False,6,7,量比>=0.8
002743,富煌钢构,专业工程,1,4.88,4.95,5.38,4.93,0.56,4.23,True,True,False,6,7,量比>=0.8
000520,凤凰航运,航运港口,1,4.25,0.71,2.13,2.51,0.64,4.07,True,True,False,6,7,量比>=0.8
601877,正泰电器,电网设备,1,25.74,0.0,1.79,0.77,0.51,25.51,True,True,False,4,7,"振幅>2%,换手率>1%,量比>=0.8"
603285,键邦股份,化学制品,1,33.3,-2.89,4.02,11.12,1.03,34.35,False,False,False,7,7,
301166,优宁维,生物制品,1,29.52,-1.2,1.54,4.3,0.45,29.0,True,False,False,5,7,"振幅>2%,量比>=0.8"
002579,中京电子,元件,1,14.38,-0.96,4.06,11.09,0.91,14.17,True,False,False,7,7,
603519,立霸股份,家电零部,1,17.24,1.0,3.51,3.56,0.57,15.97,True,True,False,6,7,量比>=0.8
603882,金域医学,医疗服务,1,27.42,-1.93,2.22,1.99,0.54,29.2,False,False,False,6,7,量比>=0.8
300109,新开源,化学制品,1,14.21,-6.82,7.74,8.1,0.99,14.17,True,True,False,6,7,涨幅-5%到10%
600250,南京商旅,旅游及景,1,9.97,4.18,9.61,13.07,0.98,8.84,True,True,False,7,7,
300363,博腾股份,医疗服务,1,19.75,-2.23,3.32,4.27,0.5,20.49,False,False,False,6,7,量比>=0.8
603177,德创环保,环境治理,1,11.02,1.19,3.4,3.39,0.81,9.95,True,True,False,7,7,
603716,塞力医疗,医药商业,1,17.08,4.08,6.7,9.51,1.15,16.89,True,False,False,7,7,
000007,全新好,一般零售,1,12.6,-1.18,1.49,1.87,0.43,11.12,True,True,False,5,7,"振幅>2%,量比>=0.8"
002552,宝鼎科技,元件,1,53.19,-5.02,6.25,10.58,0.95,52.15,True,False,False,5,7,"涨幅-5%到10%,价格2-50元"
300765,石药创新,化学制药,1,44.4,-5.43,5.47,1.86,0.6,43.04,True,False,False,5,7,"涨幅-5%到10%,量比>=0.8"
605116,奥锐特,化学制药,1,20.27,-1.27,1.41,0.6,0.43,20.38,False,False,False,4,7,"振幅>2%,换手率>1%,量比>=0.8"
600539,狮头股份,互联网电,1,15.16,2.02,4.31,7.62,0.93,14.65,True,True,False,7,7,
300601,康泰生物,生物制品,1,13.0,-4.06,4.72,3.84,0.63,12.81,True,True,False,6,7,量比>=0.8
001360,南矿集团,专用设备,1,19.15,2.52,5.25,5.14,0.74,16.82,True,True,False,6,7,量比>=0.8
601118,海南橡胶,种植业,1,6.67,2.77,4.93,3.86,0.93,5.74,True,True,False,7,7,
603578,三星新材,家电零部,1,13.14,-0.53,2.04,1.48,0.48,12.7,True,False,False,6,7,量比>=0.8
002811,郑中设计,装修装饰,1,13.25,0.15,3.48,2.24,0.42,11.63,True,True,False,6,7,量比>=0.8
605080,浙江自然,文娱用品,1,22.9,1.91,3.43,2.14,0.63,21.12,True,True,False,6,7,量比>=0.8
688433,华曙高科,通用设备,1,97.2,-2.49,4.75,1.12,0.54,92.87,True,True,False,5,7,"价格2-50元,量比>=0.8"
300710,万隆光电,通信设备,1,30.63,1.83,5.62,7.62,0.71,29.1,True,True,False,6,7,量比>=0.8
002313,日海智能,通信设备,1,8.44,-2.09,2.78,3.3,0.59,8.46,False,True,False,6,7,量比>=0.8
600327,大东方,一般零售,1,4.11,1.73,3.47,2.2,0.64,3.93,True,True,False,6,7,量比>=0.8
600211,西藏药业,生物制品,1,38.66,-1.1,1.18,1.12,0.47,39.1,False,False,False,5,7,"振幅>2%,量比>=0.8"
300009,安科生物,生物制品,1,8.52,-3.18,2.61,4.32,0.55,8.67,False,False,False,6,7,量比>=0.8
001333,光华股份,塑料,1,21.04,1.94,3.34,2.74,0.48,20.08,True,False,False,6,7,量比>=0.8
003010,若羽臣,互联网电,1,30.5,-1.93,2.67,4.58,0.71,28.25,True,True,False,6,7,量比>=0.8
000523,红棉股份,综合Ⅱ,1,3.54,3.51,6.73,6.2,0.86,3.09,True,True,False,7,7,
603666,亿嘉和,自动化设,1,26.78,-0.45,3.53,2.23,0.73,25.72,True,True,False,6,7,量比>=0.8
002333,罗普斯金,装修建材,1,5.7,-1.89,3.27,2.71,0.52,5.58,True,False,False,6,7,量比>=0.8
600783,鲁信创投,通用设备,1,15.85,-1.86,2.85,2.66,0.96,17.63,False,False,False,6,7,股价>MA20*0.9
000020,深华发Ａ,光学光电,2,13.08,-0.46,6.62,8.89,0.78,11.81,True,True,False,6,7,量比>=0.8
601011,宝泰隆,焦炭Ⅱ,1,3.1,2.99,4.32,4.8,0.77,2.81,True,True,False,6,7,量比>=0.8
603506,南都物业,房地产服,1,11.63,2.92,5.4,3.04,0.77,10.74,True,True,False,6,7,量比>=0.8
001301,尚太科技,电池,1,58.85,-2.81,2.96,1.95,0.84,57.4,True,True,False,6,7,价格2-50元
002900,哈三联,化学制药,1,13.29,-4.32,6.55,15.62,0.86,13.86,False,False,False,7,7,
603102,百合股份,食品加工,1,40.48,-0.93,4.28,4.56,0.52,38.85,True,False,False,6,7,量比>=0.8
000526,学大教育,教育,2,35.22,0.17,4.35,3.4,0.64,35.51,False,False,False,6,7,量比>=0.8
000736,中交发展,房地产服,1,4.68,3.77,5.1,3.46,1.06,4.51,True,False,False,7,7,
301211,亨迪药业,化学制药,1,12.56,-3.16,3.55,3.68,0.49,12.12,True,False,False,6,7,量比>=0.8
301130,西点药业,化学制药,1,33.4,-6.23,9.66,28.09,0.98,29.41,True,True,False,6,7,涨幅-5%到10%
603848,好太太,家居用品,1,13.76,0.36,2.19,0.75,0.62,13.5,True,False,False,5,7,"换手率>1%,量比>=0.8"
001338,永顺泰,农产品加,1,9.21,1.99,3.88,2.88,0.99,8.85,True,False,False,7,7,
603290,斯达半导,半导体,1,91.07,-2.34,2.71,2.9,0.62,89.85,True,False,False,5,7,"价格2-50元,量比>=0.8"
001400,江顺科技,专用设备,1,79.68,-2.33,4.29,8.45,0.57,77.74,True,False,False,5,7,"价格2-50元,量比>=0.8"
300069,金利华电,电网设备,1,26.13,-1.14,2.38,6.75,0.51,28.29,False,False,False,6,7,量比>=0.8
601015,陕西黑猫,焦炭Ⅱ,1,3.82,2.96,3.5,3.75,0.76,3.5,True,True,False,6,7,量比>=0.8
603366,日出东方,厨卫电器,1,7.38,2.22,4.43,3.36,0.88,7.1,True,True,False,7,7,
002040,南 京 港,航运港口,1,8.77,1.5,3.24,3.24,0.66,8.43,True,True,False,6,7,量比>=0.8
002543,万和电气,厨卫电器,1,7.25,1.68,2.95,2.01,0.65,7.02,True,False,False,6,7,量比>=0.8
