序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
36,600785,新华百货,9.991312026977539,12.66,689362368,3999088806.7200003,3999088806.7200003,17.700258255004883,153667320,094102,100444,2,8/4,1,一般零售,20260901
37,002470,金正大,9.952607154846191,2.32,372539264,7622929947.44,7623584366.08,5.044426441192627,359931296,094412,094412,0,1/1,1,农化制品,20260901
38,002945,华林证券,10.013717651367188,16.04,806861760,43308000000.0,43308000000.0,1.8986871242523193,339535586,094542,105539,2,1/1,1,证券Ⅱ,20260901
39,002882,金龙羽,9.995372772216797,23.77,429265696,5870953203.26,10290033000.0,7.424415111541748,101956661,094648,104439,2,1/1,1,电网设备,20260901
40,600354,敦煌种业,10.012063026428223,9.12,1087564048,4813554969.599999,4813554969.599999,23.53549575805664,130175304,094832,094953,1,3/2,1,种植业,20260901
41,300189,神农种业,20.031795501708984,7.55,2270055200,6691190701.2,7731200000.0,36.193359375,495542740,094957,094957,0,1/1,1,种植业,20260901
42,920855,浙江大农,29.984542846679688,16.82,102573764,1127560843.02,1257014661.06,9.402078628540039,20000880,095040,095828,1,1/1,1,专用设备,20260901
43,605300,佳禾食品,10.051281929016113,10.73,79877340,4875696945.81,4875696892.16,1.6771068572998047,41983292,095055,095119,1,1/1,1,饮料乳品,20260901
44,600121,郑州煤电,9.979633331298828,5.4,819127920,6579425005.200001,6579424972.8,13.063253402709961,161575587,095308,095308,0,2/2,2,煤炭开采,20260901
45,002041,登海种业,10.0,11.88,762883456,10454400000.0,10454400000.0,7.573088645935059,334640390,095354,095354,0,1/1,1,种植业,20260901
46,000721,西安饮食,10.0,7.59,395214016,3888814737.72,4356009567.36,10.340185165405273,89389676,095524,100615,4,1/1,1,酒店餐饮,20260901
47,603123,翠微股份,10.010537147521973,10.44,521442880,6809760907.559999,8338810855.679999,7.818746566772461,269048196,095710,095710,0,1/1,1,多元金融,20260901
48,002703,浙江世宝,10.012063026428223,18.24,1318310880,10689516869.759998,15004814684.159998,12.86999797821045,374303331,095848,095848,0,6/3,1,汽车零部,20260901
49,603376,大明电子,10.003862380981445,28.48,131639768,911382784.0,11392028707.84,14.740212440490723,65620768,100101,100101,0,1/1,1,汽车零部,20260901
50,002721,金一文化,10.034602165222168,3.18,647642464,8456823995.700001,8456823973.440001,7.856233596801758,163453908,100257,101009,2,1/1,1,饰品,20260901
51,605068,明新旭腾,9.983810424804688,20.38,181105847,3305605328.1,3305605328.1,5.635300636291504,85591924,100421,101103,1,1/1,1,汽车零部,20260901
52,003040,楚天龙,10.0,19.58,1718793872,8945128051.64,9029042253.439999,20.198625564575195,323738050,100524,100524,0,8/6,1,通信设备,20260901
53,000998,隆平高科,10.044150352478027,9.97,832206336,13111053943.62,14650397198.080002,6.532407283782959,186215981,100527,100527,0,1/1,1,种植业,20260901
54,603293,埃泰克,10.011154174804688,39.45,192025030,1384557358.95,7065126458.1,14.222579002380371,73156080,100749,100749,0,1/1,1,汽车零部,20260901
55,002015,协鑫能科,9.974746704101562,17.42,1998281568,28278314775.88,28278314671.360004,7.3307976722717285,461706438,101033,101033,0,1/1,1,电力,20260901
56,601566,九牧王,10.04672908782959,9.42,135146152,5413081953.0,5413081971.84,2.5852773189544678,68724552,101937,101937,0,1/1,1,服装家纺,20260901
57,600792,云煤能源,9.950248718261719,4.42,220190322,4905862312.0,4905862312.0,4.644283771514893,122921968,102027,102027,0,1/1,1,焦炭Ⅱ,20260901
58,000596,古井贡酒,9.998908996582031,100.88,614615408,41219568000.0,53325168000.0,1.5371402502059937,508882905,102106,102106,0,1/1,1,白酒Ⅱ,20260901
