序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
17,002425,凯撒文化,10.091742515563965,3.6,355896160,3312669322.8,3443994259.2000003,10.942301750183105,144990050,093112,110012,1,1/1,1,游戏Ⅱ,20260901
18,000505,京粮控股,9.943181991577148,7.74,304444944,5123688442.74,5626594981.440001,6.051219463348389,278448396,093127,093127,0,1/1,1,农产品加,20260901
19,601086,国芳集团,10.032715797424316,10.09,299203024,6719940000.0,6719940000.0,4.467645645141602,305632971,093139,093139,0,3/3,3,一般零售,20260901
20,600371,万向德农,10.007880210876465,13.96,618376192,4084388880.0000005,4084388880.0000005,15.353729248046875,138064567,093224,093427,2,11/8,6,种植业,20260901
21,002696,百洋股份,9.969788551330566,7.28,117898954,2433404923.04,2517090867.2000003,4.98239803314209,139166008,093236,093245,1,1/1,1,饲料,20260901
22,000560,我爱我家,10.0,3.19,2684452816,7473175099.61,7514047705.12,36.581817626953125,64996377,093300,112651,5,10/5,3,房地产服,20260901
23,002181,粤 传 媒,9.988518714904785,9.58,361820736,10868865456.32,11122937326.08,3.397562026977539,380600946,093303,093303,0,1/1,1,出版,20260901
24,000019,深粮控股,10.0,7.92,184149042,3296374543.44,9128079164.16,5.720702171325684,190181661,093336,093415,1,1/1,1,农产品加,20260901
25,002104,恒宝股份,10.035842895507812,12.28,451709952,7461593812.879999,8698539964.8,6.17216682434082,294603659,093551,093551,0,1/1,1,通信设备,20260901
26,600693,东百集团,9.989258766174316,10.24,423686960,8898076487.68,8907225497.6,4.835077285766602,238056652,093559,093559,0,1/1,1,一般零售,20260901
27,605365,立达信,9.971909523010254,15.66,120327780,7861521638.16,7861521700.8,1.5612565279006958,104323788,093614,093656,1,1/1,1,照明设备,20260901
28,600313,农发种业,10.027854919433594,7.9,668970960,8549369437.700001,9174854347.2,8.060482025146484,438354947,093631,093631,0,1/1,1,种植业,20260901
29,002172,澳洋健康,9.976798057556152,4.74,637905968,3626767060.2000003,3629571424.32,17.883623123168945,80827902,093724,100300,3,1/1,1,医疗服务,20260901
30,600828,茂业商业,10.075567245483398,4.37,68027907,7566043990.97,7568763717.28,0.9213680624961853,135592360,093728,093728,0,1/1,1,一般零售,20260901
31,605188,国光连锁,9.985315322875977,14.98,429193840,7606042570.0,7606042510.08,5.768131256103516,59626392,093804,101743,3,3/2,1,一般零售,20260901
32,600127,金健米业,9.966776847839355,13.24,1707522912,8497209806.32,8497209779.84,20.90117835998535,357770432,093806,093806,0,12/7,1,农产品加,20260901
33,000711,京蓝科技,10.016977310180664,6.48,737255696,15273456292.800001,19138661959.68,4.94217586517334,288012678,093918,094000,1,3/2,1,环境治理,20260901
